iter	Logloss_SumError	Logloss_SumWeight
0	4304.023844	6554
1	4072.679404	6554
2	3874.055323	6554
3	3676.282301	6554
4	3501.976602	6554
5	3344.089405	6554
6	3192.85359	6554
7	3059.247354	6554
8	2930.115796	6554
9	2806.787665	6554
10	2703.072099	6554
11	2607.588781	6554
12	2514.336717	6554
13	2429.62795	6554
14	2354.917724	6554
15	2285.876653	6554
16	2221.291658	6554
17	2162.289132	6554
18	2102.953247	6554
19	2052.27044	6554
20	2004.131508	6554
21	1962.038345	6554
22	1908.502087	6554
23	1872.913568	6554
24	1830.973287	6554
25	1788.153811	6554
26	1748.892357	6554
27	1713.968037	6554
28	1682.565412	6554
29	1645.84829	6554
30	1620.087619	6554
31	1592.73255	6554
32	1558.95942	6554
33	1528.810686	6554
34	1499.440797	6554
35	1477.299521	6554
36	1452.543081	6554
37	1431.985546	6554
38	1409.295097	6554
39	1387.66986	6554
40	1363.099864	6554
41	1341.808999	6554
42	1323.22922	6554
43	1306.98615	6554
44	1288.932195	6554
45	1273.283214	6554
46	1259.224833	6554
47	1244.935044	6554
48	1234.047731	6554
49	1223.502079	6554
50	1211.033491	6554
51	1200.109801	6554
52	1193.252522	6554
53	1182.718422	6554
54	1175.557308	6554
55	1166.483492	6554
56	1156.826093	6554
57	1147.502166	6554
58	1139.824326	6554
59	1130.793987	6554
60	1123.658672	6554
61	1116.343797	6554
62	1109.051344	6554
63	1103.344063	6554
64	1097.687815	6554
65	1091.54851	6554
66	1086.386802	6554
67	1081.485382	6554
68	1076.81132	6554
69	1073.400023	6554
70	1069.179626	6554
71	1064.730463	6554
72	1060.370924	6554
73	1056.95539	6554
74	1052.978808	6554
75	1049.809095	6554
76	1046.89042	6554
77	1043.97808	6554
78	1041.342954	6554
79	1038.210412	6554
80	1035.075148	6554
81	1032.623883	6554
82	1028.881663	6554
83	1025.385403	6554
84	1021.847482	6554
85	1019.059304	6554
86	1015.529304	6554
87	1011.56249	6554
88	1007.588041	6554
89	1003.83975	6554
90	999.9041425	6554
91	996.8656878	6554
92	993.0955471	6554
93	989.261704	6554
94	986.3191823	6554
95	984.5350243	6554
96	982.1485666	6554
97	979.2519273	6554
98	978.1618076	6554
99	975.7740777	6554
100	973.5450061	6554
101	971.9455873	6554
102	969.4770343	6554
103	968.5917587	6554
104	966.4108643	6554
105	964.0475334	6554
106	962.3028135	6554
107	959.8840545	6554
108	958.0901595	6554
109	956.2369259	6554
110	955.0884778	6554
111	953.0705465	6554
112	951.8930912	6554
113	950.8443505	6554
114	950.0883134	6554
115	949.0367513	6554
116	947.8609441	6554
117	946.3260198	6554
118	945.4887952	6554
119	944.0964087	6554
120	942.4785842	6554
121	941.1608147	6554
122	939.9031682	6554
123	938.4747429	6554
124	936.9823394	6554
125	935.6938024	6554
126	934.6597129	6554
127	933.5259067	6554
128	932.6582217	6554
129	931.281092	6554
130	930.8124057	6554
131	930.4714987	6554
132	929.7794455	6554
133	928.9463391	6554
134	928.0637449	6554
135	926.7840729	6554
136	926.3592459	6554
137	926.1852815	6554
138	926.0317578	6554
139	925.8120862	6554
140	924.6302688	6554
141	923.8582925	6554
142	922.9849261	6554
143	922.4393457	6554
144	921.5755391	6554
145	920.6509271	6554
146	919.9132299	6554
147	919.2280137	6554
148	918.5320577	6554
149	917.8434275	6554
150	917.6020206	6554
151	917.2885378	6554
152	916.7830614	6554
153	916.0427895	6554
154	915.3680896	6554
155	914.8359889	6554
156	914.4437503	6554
157	913.8932862	6554
158	913.7334236	6554
159	913.1692596	6554
160	913.0041358	6554
161	912.5103696	6554
162	911.9592852	6554
163	911.6453106	6554
164	911.3576854	6554
165	910.9140756	6554
166	910.547596	6554
167	909.9675225	6554
168	909.4582971	6554
169	908.8799909	6554
170	908.7129372	6554
171	908.1413874	6554
172	907.8152144	6554
173	907.5917163	6554
174	907.1414372	6554
175	907.094063	6554
176	906.893018	6554
177	906.7105185	6554
178	906.2649723	6554
179	905.8658755	6554
180	905.6447854	6554
181	905.5498948	6554
182	905.3820318	6554
183	905.0411905	6554
184	904.7165499	6554
185	904.5611729	6554
186	904.1236389	6554
187	904.0404042	6554
188	903.6776748	6554
189	903.8713108	6554
190	903.8712873	6554
191	903.6032803	6554
192	903.3408856	6554
193	903.0324675	6554
194	902.7659468	6554
195	902.5806346	6554
196	902.1869866	6554
197	901.9161526	6554
198	901.729951	6554
199	901.6975458	6554
